route_key,final_seatcount
2025-02-11_46_45,3585.2725726360773
2025-01-20_17_23,1437.7886582724207
2025-01-08_02_14,1360.1171708126813
2025-01-08_08_47,1287.3565838101413
2025-01-08_09_46,3336.481486892952
2025-01-21_45_05,1477.331735290443
2025-02-26_47_08,1623.229953439912
2025-01-03_02_19,2151.0473545440404
2025-02-11_02_30,1919.0507872001904
2025-01-25_05_45,1945.711813392216
2025-02-04_36_07,1368.8114179435029
2025-01-28_02_14,1404.016930563586
2025-01-14_47_46,2090.7529031233844
2025-02-04_02_16,1637.1348625843802
2025-02-20_47_43,3003.6758830916633
2025-01-03_19_30,2004.895273705172
2025-02-27_22_36,1620.1852399532202
2025-02-10_47_08,1297.3856250714655
2025-01-27_47_02,1472.4309007016277
2025-01-27_22_36,1548.7607502853912
2025-01-10_36_27,1677.038116215692
2025-02-11_46_15,1486.5488687092993
2025-02-28_42_45,1982.3605784277997
2025-01-22_30_02,2064.4311720135674
2025-01-17_09_46,5010.245695687673
2025-01-29_46_48,3393.380915491994
2025-02-27_11_36,2373.4313985225886
2025-02-19_48_45,1920.9181990310233
2025-01-27_23_13,1698.7176478171098
2025-01-14_28_45,3806.0669365363065
2025-01-27_46_18,1441.742969896995
2025-02-14_47_05,4040.3704430097387
2025-02-20_17_23,1636.6212735879371
2025-02-07_23_13,1728.8622879715804
2025-01-27_36_12,1663.5469272492467
2025-01-11_16_02,1657.3840449295712
2025-02-04_46_33,1065.230977818656
2025-01-11_48_46,4305.480508242208
2025-01-24_16_02,1589.1695694708235
2025-01-12_23_13,1698.0077580701595
2025-02-07_46_18,2774.3126330012083
2025-02-26_09_46,3646.1756972109624
2025-02-07_47_05,3704.8139351285795
2025-01-18_36_22,1577.0912682671562
2025-02-07_02_01,1374.688563328989
2025-01-01_46_26,1702.130935949265
2025-02-08_26_46,1984.579021857509
2025-01-09_46_44,4943.886926764231
2025-01-04_02_21,1364.6552597283016
2025-02-08_27_36,1816.5917837629727
2025-01-03_05_47,2795.1845911387068
2025-01-09_26_46,1938.765438362541
2025-01-14_20_46,3981.1112508190226
2025-02-25_13_23,1398.5455908133802
2025-02-04_45_34,1402.5023106013105
2025-01-20_05_45,2739.903186922553
2025-02-15_46_15,1820.3560667258675
2025-01-16_19_02,1582.2162732704758
2025-01-07_22_36,1507.4174840332155
2025-01-21_32_19,2229.6850532112603
2025-02-13_32_19,1875.7560596280819
2025-02-27_02_40,2598.2171867585444
2025-02-22_45_42,1797.062841172407
2025-01-05_35_46,4213.205199354918
2025-01-16_26_46,1999.2615194169096
2025-02-09_13_23,1925.516669736184
2025-01-24_39_45,1794.3726773238277
2025-01-13_36_27,1258.3341129321882
2025-02-09_45_47,4335.031273476379
2025-01-21_26_46,2087.220639322339
2025-02-08_45_05,1649.6166540466293
2025-02-03_35_46,3404.057922420138
2025-01-03_19_02,2669.02101964044
2025-02-06_36_12,2168.5652412196696
2025-02-04_37_36,3100.3463730768112
2025-01-28_45_44,1442.1471304308209
2025-02-18_46_15,1253.2126493627948
2025-02-10_45_46,4317.546327552787
2025-01-13_02_21,1288.8298987075846
2025-02-23_02_30,2299.2526214370987
2025-02-22_09_45,2599.255892313278
2025-02-12_30_14,1631.9055964002846
2025-02-27_41_36,2017.8257735710984
2025-01-05_45_47,4793.264109038682
2025-02-18_46_26,1526.691005741515
2025-01-11_36_22,1449.142797324207
2025-02-12_02_01,1303.3223497571978
2025-02-13_17_23,1284.5092808075333
2025-02-08_09_45,3198.7555932577925
2025-02-17_45_05,1699.95868264813
2025-01-03_36_27,1422.3704263088912
2025-02-14_37_36,4313.351028948273
2025-01-15_12_36,2310.304152440363
2025-01-26_02_01,1346.2090348628496
2025-01-26_02_14,1374.688563328989
2025-02-05_36_12,1704.2172738571333
2025-01-24_02_21,1359.8346767561693
2025-01-18_44_45,2811.4711812550527
2025-02-27_47_10,1374.3257546949187
2025-01-14_03_47,3301.626861452351
2025-02-22_06_47,1620.611407118069
2025-01-10_44_46,3801.028996806985
2025-01-30_03_47,2995.324117281162
2025-02-25_15_46,1225.6092743403124
2025-02-13_19_32,2614.8835472735555
2025-02-04_47_46,1958.9316508636848
2025-01-04_47_06,1640.3496844984575
2025-02-06_01_02,1216.2681563660674
2025-01-25_28_45,1995.5141751785266
2025-02-22_47_03,2063.5071807120016
2025-02-05_36_22,1209.7772770484612
2025-02-11_02_14,1303.3223497571978
2025-01-05_43_47,2366.423501329765
2025-02-04_25_23,1592.8324273129551
2025-01-07_41_36,2622.0449669758727
2025-02-12_46_18,1856.7497520146403
2025-02-20_47_05,3064.773729151808
2025-02-14_35_46,2132.3884196360395
2025-01-03_45_46,4755.225172780606
2025-01-17_47_03,2207.367353153255
2025-02-23_03_47,2949.7276101584453
2025-01-20_09_46,4835.942132530494
2025-01-13_46_44,5741.012370087845
2025-02-13_28_45,1997.21716400716
2025-02-05_47_46,1699.079426526892
2025-01-18_45_09,2468.7957816149246
2025-02-24_36_27,1494.9190572792754
2025-01-28_13_23,1767.1662963314204
2025-02-01_23_13,1487.165947087405
2025-01-03_28_45,1493.1247002202283
2025-02-06_46_18,1985.4385686750302
2025-01-05_45_28,2477.424151930785
2025-01-31_46_26,1885.6716892309644
2025-01-18_46_15,1871.8174306095202
2025-02-18_28_47,2823.111130686213
2025-02-12_12_36,2351.677206915426
2025-01-30_38_36,1470.794892872918
2025-01-20_46_48,4060.488195088378
2025-02-07_39_45,1302.2201002404215
2025-02-20_46_26,1710.4968931619903
2025-01-15_02_19,2193.220501577337
2025-02-06_42_45,1416.8960680554696
2025-01-02_48_45,3725.760412258386
